Patient ID,Average Precision,Average Recall,Average F1,Average TP,Average FP,Average FN
1,1.000,1.000,1.000,5.7,0.0,0.0
2,0.953,0.910,0.930,10.2,0.5,1.0
3,0.957,1.000,0.977,11.2,0.5,0.0
4,1.000,0.400,0.571,2.0,0.0,3.0
5,1.000,1.000,1.000,6.0,0.0,0.0
6,1.000,1.000,1.000,5.7,0.0,0.0
7,0.600,0.500,0.545,3.0,2.0,3.0
8,1.000,1.000,1.000,5.7,0.0,0.0
9,1.000,1.000,1.000,5.7,0.0,0.0
10,1.000,1.000,1.000,5.7,0.0,0.0
11,1.000,0.847,0.917,5.7,0.0,1.0
12,1.000,1.000,1.000,5.7,0.0,0.0
13,0.942,1.000,0.969,8.2,0.5,0.0
14,0.953,1.000,0.975,10.2,0.5,0.0
15,0.953,1.000,0.975,10.2,0.5,0.0
16,0.650,0.650,0.650,5.7,3.0,3.0
17,0.667,1.000,0.800,4.0,2.0,0.0
18,0.942,1.000,0.969,8.2,0.5,0.0
19,1.000,1.000,1.000,6.7,0.0,0.0
20,1.000,1.000,1.000,6.7,0.0,0.0
