Patient ID,Match Number,GT Answer Set,Generated Answer Set,Precision,Recall,F1,TP,FP,FN
1,1,1,1,1.000,1.000,1.000,5,0,0
1,2,2,2,1.000,1.000,1.000,5,0,0
1,3,3,3,1.000,1.000,1.000,7,0,0
2,1,1,5,0.900,0.900,0.900,9,1,1
2,2,2,4,0.900,0.900,0.900,9,1,1
2,3,3,6,0.917,0.917,0.917,11,1,1
2,4,4,2,1.000,0.909,0.952,10,0,1
2,5,5,1,1.000,0.909,0.952,10,0,1
2,6,6,3,1.000,0.923,0.960,12,0,1
3,1,1,5,0.909,1.000,0.952,10,1,0
3,2,2,4,0.909,1.000,0.952,10,1,0
3,3,3,6,0.923,1.000,0.960,12,1,0
3,4,4,2,1.000,1.000,1.000,11,0,0
3,5,5,1,1.000,1.000,1.000,11,0,0
3,6,6,3,1.000,1.000,1.000,13,0,0
4,1,1,1,1.000,0.400,0.571,2,0,3
5,1,1,1,1.000,1.000,1.000,5,0,0
5,2,2,3,1.000,1.000,1.000,7,0,0
6,1,1,1,1.000,1.000,1.000,5,0,0
6,2,2,2,1.000,1.000,1.000,5,0,0
6,3,3,3,1.000,1.000,1.000,7,0,0
7,1,1,1,0.600,0.500,0.545,3,2,3
8,1,1,1,1.000,1.000,1.000,5,0,0
8,2,2,2,1.000,1.000,1.000,5,0,0
8,3,3,3,1.000,1.000,1.000,7,0,0
9,1,1,1,1.000,1.000,1.000,5,0,0
9,2,2,2,1.000,1.000,1.000,5,0,0
9,3,3,3,1.000,1.000,1.000,7,0,0
10,1,1,1,1.000,1.000,1.000,5,0,0
10,2,2,2,1.000,1.000,1.000,5,0,0
10,3,3,3,1.000,1.000,1.000,7,0,0
11,1,1,1,1.000,0.833,0.909,5,0,1
11,2,2,2,1.000,0.833,0.909,5,0,1
11,3,3,3,1.000,0.875,0.933,7,0,1
12,1,1,1,1.000,1.000,1.000,5,0,0
12,2,2,2,1.000,1.000,1.000,5,0,0
12,3,3,3,1.000,1.000,1.000,7,0,0
13,1,1,5,0.875,1.000,0.933,7,1,0
13,2,2,4,0.875,1.000,0.933,7,1,0
13,3,3,6,0.900,1.000,0.947,9,1,0
13,4,4,2,1.000,1.000,1.000,8,0,0
13,5,5,1,1.000,1.000,1.000,8,0,0
13,6,6,3,1.000,1.000,1.000,10,0,0
14,1,1,5,0.900,1.000,0.947,9,1,0
14,2,2,4,0.900,1.000,0.947,9,1,0
14,3,3,6,0.917,1.000,0.957,11,1,0
14,4,4,2,1.000,1.000,1.000,10,0,0
14,5,5,1,1.000,1.000,1.000,10,0,0
14,6,6,3,1.000,1.000,1.000,12,0,0
15,1,1,5,0.900,1.000,0.947,9,1,0
15,2,2,4,0.900,1.000,0.947,9,1,0
15,3,3,6,0.917,1.000,0.957,11,1,0
15,4,4,2,1.000,1.000,1.000,10,0,0
15,5,5,1,1.000,1.000,1.000,10,0,0
15,6,6,3,1.000,1.000,1.000,12,0,0
16,1,1,1,0.625,0.625,0.625,5,3,3
16,2,2,2,0.625,0.625,0.625,5,3,3
16,3,3,3,0.700,0.700,0.700,7,3,3
17,1,1,1,0.667,1.000,0.800,4,2,0
18,1,1,5,0.875,1.000,0.933,7,1,0
18,2,2,4,0.875,1.000,0.933,7,1,0
18,3,3,6,0.900,1.000,0.947,9,1,0
18,4,4,2,1.000,1.000,1.000,8,0,0
18,5,5,1,1.000,1.000,1.000,8,0,0
18,6,6,3,1.000,1.000,1.000,10,0,0
19,1,1,1,1.000,1.000,1.000,6,0,0
19,2,2,2,1.000,1.000,1.000,6,0,0
19,3,3,3,1.000,1.000,1.000,8,0,0
20,1,1,1,1.000,1.000,1.000,6,0,0
20,2,2,2,1.000,1.000,1.000,6,0,0
20,3,3,3,1.000,1.000,1.000,8,0,0
